TRADE_DATE,ASSET_TYPE,CLOSE_PRICE
2021-12-22,ETH,3980.6
2021-12-23,ETH,4111.85
2021-12-24,ETH,4047.5
2021-12-25,ETH,4096.7
2021-12-26,ETH,4066.25
2021-12-27,ETH,4038.05
2021-12-28,ETH,3793.45
2021-12-29,ETH,3629.75
2021-12-30,ETH,3710.6
2021-12-31,ETH,3678.85
2022-01-01,ETH,3768.15
2022-01-02,ETH,3831.5
2022-01-03,ETH,3765.8
2022-01-04,ETH,3785.2
2022-01-05,ETH,3537.6
2022-01-06,ETH,3409.3
2022-01-07,ETH,3198.3
2022-01-08,ETH,3080.35
2022-01-09,ETH,3150.75
2022-01-10,ETH,3084.85
2022-01-11,ETH,3240.85
2022-01-12,ETH,3374
2022-01-13,ETH,3240.05
2022-01-14,ETH,3309.95
2022-01-15,ETH,3328.2
2022-01-16,ETH,3350
2022-01-17,ETH,3211.3
2022-01-18,ETH,3161.3
2022-01-19,ETH,3083.9
2022-01-20,ETH,3003.05
2022-01-21,ETH,2570.1
2022-01-22,ETH,2412.25
2022-01-23,ETH,2541.95
2022-01-24,ETH,2443.45
2022-01-25,ETH,2459.15
2022-01-26,ETH,2463.45
2022-01-27,ETH,2427.25
2022-01-28,ETH,2546.7
2022-01-29,ETH,2600.1
2022-01-30,ETH,2603.65
2022-01-31,ETH,2688.2
2022-02-01,ETH,2789.85
2022-02-02,ETH,2682.95
2022-02-03,ETH,2696.75
2022-02-04,ETH,2994.95
2022-02-05,ETH,3014.9
2022-02-06,ETH,3057.5
2022-02-07,ETH,3141.75
2022-02-08,ETH,3118.75
2022-02-09,ETH,3245.95
2022-02-10,ETH,3074.2
2022-02-11,ETH,2929.4
2022-02-12,ETH,2917.45
2022-02-13,ETH,2871.9
2022-02-14,ETH,2930.5
2022-02-15,ETH,3185.55
2022-02-16,ETH,3124.55
2022-02-17,ETH,2893.55
2022-02-18,ETH,2782.65
2022-02-19,ETH,2765.5
2022-02-20,ETH,2622.05
2022-02-21,ETH,2567.6
2022-02-22,ETH,2638.15
2022-02-23,ETH,2578.9
2022-02-24,ETH,2597.6
2022-02-25,ETH,2769.7
2022-02-26,ETH,2780.05
2022-02-27,ETH,2615.7
2022-02-28,ETH,2923.3
2022-03-01,ETH,2976.25
2022-03-02,ETH,2948.35
2022-03-03,ETH,2834.1
2022-03-04,ETH,2623.15
2022-03-05,ETH,2665.05
2022-03-06,ETH,2551.5
2022-03-07,ETH,2492.7
2022-03-08,ETH,2578.8
2022-03-09,ETH,2728.95
2022-03-10,ETH,2607.95
2022-03-11,ETH,2556.25
2022-03-12,ETH,2568.95
2022-03-13,ETH,2516.9
2022-03-14,ETH,2590.05
2022-03-15,ETH,2618.55
2022-03-16,ETH,2775.45
2022-03-17,ETH,2814.35
2022-03-18,ETH,2941.55
2022-03-19,ETH,2952.35
2022-03-20,ETH,2862.15
2022-03-21,ETH,2891.5
2022-03-22,ETH,2970.75
2022-03-23,ETH,3037.2
2022-03-24,ETH,3113.1
2022-03-25,ETH,3104.55
2022-03-26,ETH,3146.4
2022-03-27,ETH,3297.85
2022-03-28,ETH,3333.45
2022-03-29,ETH,3402.05
2022-03-30,ETH,3386
2022-03-31,ETH,3281.95
2022-04-01,ETH,3456.3
2022-04-02,ETH,3443.3
2022-04-03,ETH,3521.9
2022-04-04,ETH,3521.2
2022-04-05,ETH,3406.45
2022-04-06,ETH,3168.15
2022-04-07,ETH,3229.35
2022-04-08,ETH,3194.65
2022-04-09,ETH,3259.05
2022-04-10,ETH,3202.3
2022-04-11,ETH,2980.35
2022-04-12,ETH,3028.5
2022-04-13,ETH,3118.45
2022-04-14,ETH,3022
2022-04-15,ETH,3040.6
2022-04-16,ETH,3061.4
2022-04-17,ETH,2989
2022-04-18,ETH,3056.1
2022-04-19,ETH,3103
2022-04-20,ETH,3077.5
2022-04-21,ETH,2983.1
2022-04-22,ETH,2962.45
2022-04-23,ETH,2932.4
2022-04-24,ETH,2922
2022-04-25,ETH,3005.7
2022-04-26,ETH,2811.8
2022-04-27,ETH,2889.5
2022-04-28,ETH,2936.85
2022-04-29,ETH,2817.25
2022-04-30,ETH,2727.15
2022-05-01,ETH,2826.15
2022-05-02,ETH,2856.15
2022-05-03,ETH,2781.35
2022-05-04,ETH,2939.8
2022-05-05,ETH,2746.4
2022-05-06,ETH,2691.85
2022-05-07,ETH,2635
2022-05-08,ETH,2518.9
2022-05-09,ETH,2230.3
2022-05-10,ETH,2342.55
2022-05-11,ETH,2077.2
2022-05-12,ETH,1950.1
2022-05-13,ETH,2005.85
2022-05-14,ETH,2052.95
2022-05-15,ETH,2143.65
2022-05-16,ETH,2019.4
2022-05-17,ETH,2089.2
2022-05-18,ETH,1911.15
2022-05-19,ETH,2017.4
2022-05-20,ETH,1956.75
2022-05-21,ETH,1972.95
2022-05-22,ETH,2041
2022-05-23,ETH,1970.8
2022-05-24,ETH,1977.9
2022-05-25,ETH,1940.35
2022-05-26,ETH,1791.55
2022-05-27,ETH,1721.55
2022-05-28,ETH,1790.15
2022-05-29,ETH,1811.8
2022-05-30,ETH,1998.4
2022-05-31,ETH,1939.8
2022-06-01,ETH,1816.9
2022-06-02,ETH,1833
2022-06-03,ETH,1773.55
2022-06-04,ETH,1803.5
2022-06-05,ETH,1805.15
2022-06-06,ETH,1858.4
2022-06-07,ETH,1812.4
2022-06-08,ETH,1790.55
2022-06-09,ETH,1786.75
